src_domain,tgt_domain,weight,log_weight,is_bridge
apple.com,bbc.co.uk,4.0,1.609438,False
angrybear.blogspot.com,blog.badtux.net,4.0,1.609438,False
apple.com,blog.badtux.net,4.0,1.609438,False
arstechnica.com,blog.badtux.net,4.0,1.609438,False
abcnews.go.com,blog.badtux.net,37.0,3.637586,False
alternet.org,blog.badtux.net,12.0,2.564949,False
amazon.com,blog.badtux.net,27.0,3.332205,False
3.bp.blogspot.com,blog.badtux.net,332.0,5.808142,False
1.bp.blogspot.com,blog.badtux.net,370.0,5.916202,False
4.bp.blogspot.com,blog.badtux.net,392.0,5.97381,False
2.bp.blogspot.com,blog.badtux.net,260.0,5.56452,False
bbc.co.uk,blog.openitstrategies.com,3.0,1.386294,False
2.bp.blogspot.com,blog.openitstrategies.com,30.0,3.433987,False
4.bp.blogspot.com,blog.openitstrategies.com,23.0,3.178054,False
arstechnica.com,blog.openitstrategies.com,24.0,3.218876,False
3.bp.blogspot.com,blog.openitstrategies.com,26.0,3.295837,False
abcnews.go.com,blog.openitstrategies.com,5.0,1.791759,False
1.bp.blogspot.com,blog.openitstrategies.com,31.0,3.465736,False
amazon.com,blog.openitstrategies.com,504.0,6.224558,False
apple.com,blog.openitstrategies.com,325.0,5.786897,False
amazon.com,blog.wired.com,261.0,5.568345,False
blog.badtux.net,blog.wired.com,4.0,1.609438,False
arstechnica.com,blog.wired.com,7.0,2.079442,False
alterdestiny.blogspot.com,blog.wired.com,4.0,1.609438,False
blog.openitstrategies.com,blog.wired.com,35.0,3.583519,False
babbazeesbrain.blogspot.com,blog.wired.com,12.0,2.564949,False
alternet.org,blog.wired.com,4.0,1.609438,False
angrybear.blogspot.com,blog.wired.com,5.0,1.791759,False
apple.com,blog.wired.com,20.0,3.044522,False
bbc.co.uk,blog.wired.com,2.0,1.098612,False
abcnews.go.com,blog.wired.com,4.0,1.609438,False
blog.openitstrategies.com,blogger.com,1954.0,7.578145,False
blog.badtux.net,blogger.com,9738.0,9.183894,False
alterdestiny.blogspot.com,blogger.com,14707.0,9.596147,False
babbazeesbrain.blogspot.com,blogger.com,2819.0,7.944492,False
angrybear.blogspot.com,blogger.com,9.0,2.302585,False
althouse.blogspot.com,blogger.com,21.0,3.091042,False
angrybear.blogspot.com,blogs.abcnews.com,3.0,1.386294,False
babbazeesbrain.blogspot.com,blogs.abcnews.com,21.0,3.091042,False
blog.badtux.net,blogs.abcnews.com,60.0,4.110874,False
abcnews.go.com,blogs.abcnews.com,651.0,6.480045,False
atlasshrugs2000.typepad.com,blogs.abcnews.com,6.0,1.94591,False
amazon.com,blogs.abcnews.com,191.0,5.257495,False
althouse.blogspot.com,blogs.abcnews.com,3.0,1.386294,False
alterdestiny.blogspot.com,blogs.wsj.com,3.0,1.386294,False
blogs.abcnews.com,blogs.wsj.com,2.0,1.098612,False
alternet.org,blogs.wsj.com,11.0,2.484907,False
althouse.blogspot.com,blogs.wsj.com,3.0,1.386294,False
babbazeesbrain.blogspot.com,blogs.wsj.com,39.0,3.688879,False
blog.wired.com,blogs.wsj.com,8.0,2.197225,False
angrybear.blogspot.com,blogs.wsj.com,8.0,2.197225,False
blog.openitstrategies.com,blogs.wsj.com,35.0,3.583519,False
amazon.com,blogs.wsj.com,79.0,4.382027,False
4.bp.blogspot.com,blogs.wsj.com,2.0,1.098612,False
abcnews.go.com,blogs.wsj.com,9.0,2.302585,False
amazon.com,blogs.zdnet.com,165.0,5.111988,False
blog.badtux.net,blogs.zdnet.com,3.0,1.386294,False
blog.openitstrategies.com,blogs.zdnet.com,46.0,3.850148,False
blog.wired.com,blogs.zdnet.com,3.0,1.386294,False
arstechnica.com,blogs.zdnet.com,5.0,1.791759,False
babbazeesbrain.blogspot.com,blogs.zdnet.com,2.0,1.098612,False
blogs.wsj.com,blogs.zdnet.com,3.0,1.386294,False
bbc.co.uk,blogs.zdnet.com,2.0,1.098612,False
apple.com,blogs.zdnet.com,21.0,3.091042,False
atlasshrugs2000.typepad.com,bloomberg.com,4.0,1.609438,False
bbc.co.uk,bloomberg.com,3.0,1.386294,False
blogs.zdnet.com,bloomberg.com,11.0,2.484907,False
blog.badtux.net,bloomberg.com,8.0,2.197225,False
blog.wired.com,bloomberg.com,5.0,1.791759,False
blogs.abcnews.com,bloomberg.com,168.0,5.129899,False
blogs.wsj.com,bloomberg.com,59.0,4.094345,False
alternet.org,bloomberg.com,11.0,2.484907,False
blog.openitstrategies.com,bloomberg.com,9.0,2.302585,False
alterdestiny.blogspot.com,bloomberg.com,12.0,2.564949,False
babbazeesbrain.blogspot.com,bloomberg.com,527.0,6.269096,False
angrybear.blogspot.com,bloomberg.com,33.0,3.526361,False
abcnews.go.com,bloomberg.com,2.0,1.098612,False
amazon.com,bloomberg.com,4.0,1.609438,False
blogs.abcnews.com,boston.com,77.0,4.356709,False
alterdestiny.blogspot.com,boston.com,8.0,2.197225,False
atlasshrugs2000.typepad.com,boston.com,12.0,2.564949,False
blog.badtux.net,boston.com,10.0,2.397895,False
angrybear.blogspot.com,boston.com,14.0,2.70805,False
blogs.wsj.com,boston.com,11.0,2.484907,False
babbazeesbrain.blogspot.com,boston.com,59.0,4.094345,False
althouse.blogspot.com,boston.com,7.0,2.079442,False
alternet.org,boston.com,7.0,2.079442,False
blog.openitstrategies.com,boston.com,3.0,1.386294,False
blog.wired.com,boston.com,14.0,2.70805,False
amazon.com,boston.com,103.0,4.644391,False
bloomberg.com,boston.com,3.0,1.386294,False
abcnews.go.com,boston.com,3.0,1.386294,False
blogs.abcnews.com,breitbart.com,2.0,1.098612,False
atlasshrugs2000.typepad.com,breitbart.com,2.0,1.098612,False
babbazeesbrain.blogspot.com,breitbart.com,48.0,3.89182,False
althouse.blogspot.com,breitbart.com,13.0,2.639057,False
amazon.com,breitbart.com,2.0,1.098612,False
amazon.com,buckmire.blogspot.com,111.0,4.718499,False
breitbart.com,buckmire.blogspot.com,3.0,1.386294,False
2.bp.blogspot.com,buckmire.blogspot.com,336.0,5.820083,False
boston.com,buckmire.blogspot.com,21.0,3.091042,False
4.bp.blogspot.com,buckmire.blogspot.com,324.0,5.783825,False
apple.com,buckmire.blogspot.com,2.0,1.098612,False
bloomberg.com,buckmire.blogspot.com,9.0,2.302585,False
blogger.com,buckmire.blogspot.com,5807.0,8.666992,False
abcnews.go.com,buckmire.blogspot.com,12.0,2.564949,False
3.bp.blogspot.com,buckmire.blogspot.com,487.0,6.190315,False
blogs.wsj.com,buckmire.blogspot.com,2.0,1.098612,False
bbc.co.uk,buckmire.blogspot.com,2.0,1.098612,False
1.bp.blogspot.com,buckmire.blogspot.com,431.0,6.068426,False
babbazeesbrain.blogspot.com,businessweek.com,32.0,3.496508,False
atlasshrugs2000.typepad.com,businessweek.com,3.0,1.386294,False
blog.wired.com,businessweek.com,5.0,1.791759,False
blog.badtux.net,businessweek.com,3.0,1.386294,False
angrybear.blogspot.com,businessweek.com,19.0,2.995732,False
blogs.wsj.com,businessweek.com,4.0,1.609438,False
arstechnica.com,businessweek.com,4.0,1.609438,False
blog.openitstrategies.com,businessweek.com,70.0,4.26268,False
blogs.zdnet.com,businessweek.com,9.0,2.302585,False
bloomberg.com,businessweek.com,41.0,3.73767,False
amazon.com,businessweek.com,15.0,2.772589,False
apple.com,businessweek.com,9.0,2.302585,False
althouse.blogspot.com,cajunboyinthecity.blogspot.com,4.0,1.609438,False
alternet.org,cajunboyinthecity.blogspot.com,5.0,1.791759,False
1.bp.blogspot.com,cajunboyinthecity.blogspot.com,211.0,5.356586,False
2.bp.blogspot.com,cajunboyinthecity.blogspot.com,220.0,5.398163,False
abcnews.go.com,cajunboyinthecity.blogspot.com,13.0,2.639057,False
blogs.wsj.com,cajunboyinthecity.blogspot.com,4.0,1.609438,False
blogger.com,cajunboyinthecity.blogspot.com,8194.0,9.011279,False
3.bp.blogspot.com,cajunboyinthecity.blogspot.com,295.0,5.690359,False
4.bp.blogspot.com,cajunboyinthecity.blogspot.com,297.0,5.697093,False
bloomberg.com,cajunboyinthecity.blogspot.com,58.0,4.077537,False
blogs.abcnews.com,cajunboyinthecity.blogspot.com,7.0,2.079442,False
breitbart.com,cajunboyinthecity.blogspot.com,20.0,3.044522,False
amazon.com,cajunboyinthecity.blogspot.com,21.0,3.091042,False
boston.com,cajunboyinthecity.blogspot.com,54.0,4.007333,False
blog.wired.com,cajunboyinthecity.blogspot.com,2.0,1.098612,False
1.bp.blogspot.com,capitalfax.blogspot.com,111.0,4.718499,False
businessweek.com,capitalfax.blogspot.com,2.0,1.098612,False
blogger.com,capitalfax.blogspot.com,7891.0,8.973605,False
3.bp.blogspot.com,capitalfax.blogspot.com,101.0,4.624973,False
abcnews.go.com,capitalfax.blogspot.com,23.0,3.178054,False
breitbart.com,capitalfax.blogspot.com,3.0,1.386294,False
bloomberg.com,capitalfax.blogspot.com,69.0,4.248495,False
boston.com,capitalfax.blogspot.com,20.0,3.044522,False
amazon.com,capitalfax.blogspot.com,53.0,3.988984,False
blogs.abcnews.com,capitalfax.blogspot.com,42.0,3.7612,False
2.bp.blogspot.com,capitalfax.blogspot.com,67.0,4.219508,False
blogs.wsj.com,capitalfax.blogspot.com,29.0,3.401197,False
4.bp.blogspot.com,capitalfax.blogspot.com,163.0,5.099866,False
boston.com,cbc.ca,2.0,1.098612,False
capitalfax.blogspot.com,cbc.ca,2.0,1.098612,False
buckmire.blogspot.com,cbc.ca,2.0,1.098612,False
atlasshrugs2000.typepad.com,cbc.ca,7.0,2.079442,False
angrybear.blogspot.com,cbc.ca,5.0,1.791759,False
blog.badtux.net,cbc.ca,11.0,2.484907,False
babbazeesbrain.blogspot.com,cbc.ca,16.0,2.833213,False
alterdestiny.blogspot.com,cbc.ca,65.0,4.189655,False
capitalfax.blogspot.com,cbsnews.com,38.0,3.663562,False
alternet.org,cbsnews.com,3.0,1.386294,False
alterdestiny.blogspot.com,cbsnews.com,4.0,1.609438,False
blog.badtux.net,cbsnews.com,26.0,3.295837,False
blogs.abcnews.com,cbsnews.com,2.0,1.098612,False
businessweek.com,cbsnews.com,4.0,1.609438,False
angrybear.blogspot.com,cbsnews.com,19.0,2.995732,False
blog.openitstrategies.com,cbsnews.com,3.0,1.386294,False
cajunboyinthecity.blogspot.com,cbsnews.com,7.0,2.079442,False
atlasshrugs2000.typepad.com,cbsnews.com,11.0,2.484907,False
althouse.blogspot.com,cbsnews.com,7.0,2.079442,False
buckmire.blogspot.com,cbsnews.com,7.0,2.079442,False
babbazeesbrain.blogspot.com,cbsnews.com,50.0,3.931826,False
blogs.wsj.com,cbsnews.com,5.0,1.791759,False
boston.com,cbsnews.com,4.0,1.609438,False
blog.wired.com,cbsnews.com,3.0,1.386294,False
amazon.com,cbsnews.com,2.0,1.098612,False
bloomberg.com,cbsnews.com,2.0,1.098612,False
abcnews.go.com,cdc.gov,4.0,1.609438,False
blog.badtux.net,cdc.gov,4.0,1.609438,False
cbsnews.com,cdc.gov,7.0,2.079442,False
bloomberg.com,cdc.gov,68.0,4.234107,False
blog.wired.com,cdc.gov,3.0,1.386294,False
boston.com,cdc.gov,38.0,3.663562,False
cbc.ca,cdc.gov,3.0,1.386294,False
capitalfax.blogspot.com,cdc.gov,84.0,4.442651,False
buckmire.blogspot.com,cdc.gov,13.0,2.639057,False
angrybear.blogspot.com,cdc.gov,2.0,1.098612,False
bbc.co.uk,cdc.gov,2.0,1.098612,False
breitbart.com,cdc.gov,7.0,2.079442,False
boston.com,chacha.com,12.0,2.564949,False
cdc.gov,chacha.com,166.0,5.117994,False
alternet.org,chacha.com,4.0,1.609438,False
abcnews.go.com,chacha.com,33.0,3.526361,False
blog.wired.com,chacha.com,11.0,2.484907,False
blogs.wsj.com,chacha.com,2.0,1.098612,False
bloomberg.com,chacha.com,4.0,1.609438,False
amazon.com,chacha.com,191.0,5.257495,False
cbc.ca,chacha.com,7.0,2.079442,False
apple.com,chacha.com,29.0,3.401197,False
bbc.co.uk,chacha.com,105.0,4.663439,False
blogs.abcnews.com,chacha.com,3.0,1.386294,False
cbsnews.com,chacha.com,9.0,2.302585,False
businessweek.com,chacha.com,5.0,1.791759,False
breitbart.com,chacha.com,2.0,1.098612,False
buckmire.blogspot.com,chicagotribune.com,11.0,2.484907,False
boston.com,chicagotribune.com,4.0,1.609438,False
chacha.com,chicagotribune.com,5.0,1.791759,False
alterdestiny.blogspot.com,chicagotribune.com,3.0,1.386294,False
blogs.abcnews.com,chicagotribune.com,38.0,3.663562,False
babbazeesbrain.blogspot.com,chicagotribune.com,18.0,2.944439,False
blogs.wsj.com,chicagotribune.com,4.0,1.609438,False
blog.badtux.net,chicagotribune.com,10.0,2.397895,False
blog.wired.com,chicagotribune.com,3.0,1.386294,False
althouse.blogspot.com,chicagotribune.com,12.0,2.564949,False
cbsnews.com,chicagotribune.com,4.0,1.609438,False
cajunboyinthecity.blogspot.com,chicagotribune.com,9.0,2.302585,False
angrybear.blogspot.com,chicagotribune.com,7.0,2.079442,False
blog.openitstrategies.com,chicagotribune.com,6.0,1.94591,False
capitalfax.blogspot.com,chicagotribune.com,1292.0,7.16472,False
atlasshrugs2000.typepad.com,chicagotribune.com,10.0,2.397895,False
amazon.com,chicagotribune.com,84.0,4.442651,False
blogger.com,chicagotribune.com,14.0,2.70805,False
buckmire.blogspot.com,chron.com,8.0,2.197225,False
babbazeesbrain.blogspot.com,chron.com,28.0,3.367296,False
capitalfax.blogspot.com,chron.com,17.0,2.890372,False
angrybear.blogspot.com,chron.com,8.0,2.197225,False
althouse.blogspot.com,chron.com,3.0,1.386294,False
alterdestiny.blogspot.com,chron.com,7.0,2.079442,False
cajunboyinthecity.blogspot.com,chron.com,4.0,1.609438,False
blog.badtux.net,chron.com,8.0,2.197225,False
chacha.com,chron.com,3.0,1.386294,False
blogs.wsj.com,chron.com,5.0,1.791759,False
abcnews.go.com,chron.com,2.0,1.098612,False
cdc.gov,chron.com,6.0,1.94591,False
atlasshrugs2000.typepad.com,cinie.wordpress.com,20.0,3.044522,False
chron.com,cinie.wordpress.com,6.0,1.94591,False
blogs.abcnews.com,cinie.wordpress.com,206.0,5.332719,False
alternet.org,cinie.wordpress.com,10.0,2.397895,False
bloomberg.com,cinie.wordpress.com,106.0,4.672829,False
abcnews.go.com,cinie.wordpress.com,137.0,4.927254,False
blog.wired.com,cinie.wordpress.com,9.0,2.302585,False
blogs.wsj.com,cinie.wordpress.com,38.0,3.663562,False
cbsnews.com,cinie.wordpress.com,130.0,4.875197,False
breitbart.com,cinie.wordpress.com,12.0,2.564949,False
boston.com,cinie.wordpress.com,96.0,4.574711,False
amazon.com,cinie.wordpress.com,9.0,2.302585,False
chicagotribune.com,cinie.wordpress.com,222.0,5.407172,False
businessweek.com,cinie.wordpress.com,72.0,4.290459,False
businessweek.com,circleof13.blogspot.com,4.0,1.609438,False
blog.wired.com,circleof13.blogspot.com,6.0,1.94591,False
4.bp.blogspot.com,circleof13.blogspot.com,36.0,3.610918,False
cdc.gov,circleof13.blogspot.com,2.0,1.098612,False
blogs.wsj.com,circleof13.blogspot.com,3.0,1.386294,False
bloomberg.com,circleof13.blogspot.com,14.0,2.70805,False
bbc.co.uk,circleof13.blogspot.com,4.0,1.609438,False
3.bp.blogspot.com,circleof13.blogspot.com,43.0,3.78419,False
boston.com,circleof13.blogspot.com,18.0,2.944439,False
amazon.com,circleof13.blogspot.com,10.0,2.397895,False
chron.com,circleof13.blogspot.com,2.0,1.098612,False
2.bp.blogspot.com,circleof13.blogspot.com,36.0,3.610918,False
cbsnews.com,circleof13.blogspot.com,4.0,1.609438,False
abcnews.go.com,circleof13.blogspot.com,4.0,1.609438,False
alternet.org,circleof13.blogspot.com,36.0,3.610918,False
1.bp.blogspot.com,circleof13.blogspot.com,36.0,3.610918,False
blogger.com,circleof13.blogspot.com,3297.0,8.101072,False
chicagotribune.com,circleof13.blogspot.com,8.0,2.197225,False
bbc.co.uk,classicalvalues.com,3.0,1.386294,False
chicagotribune.com,classicalvalues.com,10.0,2.397895,False
amazon.com,classicalvalues.com,195.0,5.278115,False
boston.com,classicalvalues.com,13.0,2.639057,False
alternet.org,classicalvalues.com,8.0,2.197225,False
blogs.wsj.com,classicalvalues.com,4.0,1.609438,False
althouse.blogspot.com,classicalvalues.com,63.0,4.158883,False
breitbart.com,classicalvalues.com,42.0,3.7612,False
cbsnews.com,classicalvalues.com,24.0,3.218876,False
blog.wired.com,classicalvalues.com,2.0,1.098612,False
cdc.gov,classicalvalues.com,3.0,1.386294,False
bloomberg.com,classicalvalues.com,11.0,2.484907,False
arstechnica.com,classicalvalues.com,4.0,1.609438,False
atlasshrugs2000.typepad.com,classicalvalues.com,2.0,1.098612,False
businessweek.com,classicalvalues.com,4.0,1.609438,False
blogger.com,classicalvalues.com,3.0,1.386294,False
abcnews.go.com,classicalvalues.com,28.0,3.367296,False
blogs.abcnews.com,classicalvalues.com,14.0,2.70805,False
chron.com,classicalvalues.com,10.0,2.397895,False
chacha.com,cnn.com,134.0,4.905275,False
blog.wired.com,cnn.com,18.0,2.944439,False
atlasshrugs2000.typepad.com,cnn.com,7.0,2.079442,False
breitbart.com,cnn.com,2.0,1.098612,False
angrybear.blogspot.com,cnn.com,123.0,4.820282,False
blog.badtux.net,cnn.com,70.0,4.26268,False
alterdestiny.blogspot.com,cnn.com,188.0,5.241747,False
capitalfax.blogspot.com,cnn.com,43.0,3.78419,False
blog.openitstrategies.com,cnn.com,7.0,2.079442,False
buckmire.blogspot.com,cnn.com,52.0,3.970292,False
amazon.com,cnn.com,31.0,3.465736,False
althouse.blogspot.com,cnn.com,47.0,3.871201,False
cinie.wordpress.com,cnn.com,234.0,5.459586,False
classicalvalues.com,cnn.com,55.0,4.025352,False
babbazeesbrain.blogspot.com,cnn.com,85.0,4.454347,False
alternet.org,cnn.com,18.0,2.944439,False
boston.com,cnn.com,4.0,1.609438,False
circleof13.blogspot.com,cnn.com,11.0,2.484907,False
cajunboyinthecity.blogspot.com,cnn.com,30.0,3.433987,False
blogs.zdnet.com,cnn.com,3.0,1.386294,False
blogs.abcnews.com,cnn.com,4.0,1.609438,False
cbsnews.com,cnn.com,2.0,1.098612,False
chicagotribune.com,cnn.com,6.0,1.94591,False
cdc.gov,cnn.com,92.0,4.532599,False
classicalvalues.com,commondreams.org,6.0,1.94591,False
blog.badtux.net,commondreams.org,14.0,2.70805,False
atlasshrugs2000.typepad.com,commondreams.org,2.0,1.098612,False
babbazeesbrain.blogspot.com,commondreams.org,5.0,1.791759,False
angrybear.blogspot.com,commondreams.org,13.0,2.639057,False
cinie.wordpress.com,commondreams.org,4.0,1.609438,False
alterdestiny.blogspot.com,commondreams.org,6.0,1.94591,False
circleof13.blogspot.com,commondreams.org,19.0,2.995732,False
chacha.com,commondreams.org,3.0,1.386294,False
cnn.com,commondreams.org,9.0,2.302585,False
chicagotribune.com,commondreams.org,6.0,1.94591,False
blogs.abcnews.com,commondreams.org,2.0,1.098612,False
alternet.org,commondreams.org,3.0,1.386294,False
abcnews.go.com,commondreams.org,7.0,2.079442,False
cbsnews.com,commondreams.org,2.0,1.098612,False
amazon.com,commondreams.org,30.0,3.433987,False
blog.wired.com,commondreams.org,6.0,1.94591,False
boston.com,commondreams.org,5.0,1.791759,False
althouse.blogspot.com,concurringopinions.com,10.0,2.397895,False
boston.com,concurringopinions.com,72.0,4.290459,False
cbsnews.com,concurringopinions.com,9.0,2.302585,False
amazon.com,concurringopinions.com,471.0,6.156979,False
abcnews.go.com,concurringopinions.com,30.0,3.433987,False
blogs.zdnet.com,concurringopinions.com,10.0,2.397895,False
chicagotribune.com,concurringopinions.com,12.0,2.564949,False
alternet.org,concurringopinions.com,15.0,2.772589,False
blogs.wsj.com,concurringopinions.com,66.0,4.204693,False
breitbart.com,concurringopinions.com,3.0,1.386294,False
bloomberg.com,concurringopinions.com,8.0,2.197225,False
businessweek.com,concurringopinions.com,50.0,3.931826,False
cbc.ca,concurringopinions.com,3.0,1.386294,False
commondreams.org,concurringopinions.com,26.0,3.295837,False
blog.wired.com,concurringopinions.com,56.0,4.043051,False
apple.com,concurringopinions.com,10.0,2.397895,False
arstechnica.com,concurringopinions.com,27.0,3.332205,False
bbc.co.uk,concurringopinions.com,7.0,2.079442,False
chron.com,concurringopinions.com,7.0,2.079442,False
cnn.com,concurringopinions.com,52.0,3.970292,False
alterdestiny.blogspot.com,conservapedia.com,3.0,1.386294,False
amazon.com,conservapedia.com,255.0,5.545177,False
cnn.com,conservapedia.com,156.0,5.056246,False
bloomberg.com,conservapedia.com,7.0,2.079442,False
cbc.ca,conservapedia.com,2.0,1.098612,False
blogs.wsj.com,conservapedia.com,5.0,1.791759,False
commondreams.org,conservapedia.com,2.0,1.098612,False
bbc.co.uk,conservapedia.com,5.0,1.791759,False
blogs.abcnews.com,conservapedia.com,6.0,1.94591,False
cbsnews.com,conservapedia.com,29.0,3.401197,False
chicagotribune.com,conservapedia.com,6.0,1.94591,False
businessweek.com,conservapedia.com,3.0,1.386294,False
boston.com,conservapedia.com,190.0,5.252273,False
3.bp.blogspot.com,conservapedia.com,40.0,3.713572,False
cdc.gov,conservapedia.com,5.0,1.791759,False
alterdestiny.blogspot.com,corner.nationalreview.com,13.0,2.639057,False
classicalvalues.com,corner.nationalreview.com,22.0,3.135494,False
blogs.abcnews.com,corner.nationalreview.com,4.0,1.609438,False
babbazeesbrain.blogspot.com,corner.nationalreview.com,23.0,3.178054,False
concurringopinions.com,corner.nationalreview.com,12.0,2.564949,False
angrybear.blogspot.com,corner.nationalreview.com,105.0,4.663439,False
althouse.blogspot.com,corner.nationalreview.com,9.0,2.302585,False
capitalfax.blogspot.com,corner.nationalreview.com,18.0,2.944439,False
atlasshrugs2000.typepad.com,corner.nationalreview.com,8.0,2.197225,False
cinie.wordpress.com,corner.nationalreview.com,8.0,2.197225,False
bloomberg.com,corner.nationalreview.com,3.0,1.386294,False
boston.com,corner.nationalreview.com,2.0,1.098612,False
abcnews.go.com,corner.nationalreview.com,2.0,1.098612,False
cnn.com,corner.nationalreview.com,2.0,1.098612,False
cbsnews.com,corner.nationalreview.com,2.0,1.098612,False
chicagotribune.com,corner.nationalreview.com,3.0,1.386294,False
concurringopinions.com,crooksandliars.com,2.0,1.098612,False
classicalvalues.com,crooksandliars.com,4.0,1.609438,False
buckmire.blogspot.com,crooksandliars.com,4.0,1.609438,False
chron.com,crooksandliars.com,2.0,1.098612,False
circleof13.blogspot.com,crooksandliars.com,9.0,2.302585,False
alternet.org,crooksandliars.com,2.0,1.098612,False
capitalfax.blogspot.com,crooksandliars.com,2.0,1.098612,False
babbazeesbrain.blogspot.com,crooksandliars.com,2.0,1.098612,False
atlasshrugs2000.typepad.com,crooksandliars.com,3.0,1.386294,False
angrybear.blogspot.com,crooksandliars.com,8.0,2.197225,False
alterdestiny.blogspot.com,crooksandliars.com,7.0,2.079442,False
blog.badtux.net,crooksandliars.com,16.0,2.833213,False
cbsnews.com,crooksandliars.com,19.0,2.995732,False
blogs.wsj.com,crooksandliars.com,2.0,1.098612,False
blogs.abcnews.com,crooksandliars.com,4.0,1.609438,False
cnn.com,crooksandliars.com,4.0,1.609438,False
abcnews.go.com,crooksandliars.com,14.0,2.70805,False
bloomberg.com,crooksandliars.com,5.0,1.791759,False
boston.com,crooksandliars.com,2.0,1.098612,False
amazon.com,crooksandliars.com,15.0,2.772589,False
blogs.abcnews.com,cujo359.blogspot.com,11.0,2.484907,False
cbc.ca,cujo359.blogspot.com,10.0,2.397895,False
chron.com,cujo359.blogspot.com,3.0,1.386294,False
businessweek.com,cujo359.blogspot.com,4.0,1.609438,False
cbsnews.com,cujo359.blogspot.com,10.0,2.397895,False
cnn.com,cujo359.blogspot.com,22.0,3.135494,False
crooksandliars.com,cujo359.blogspot.com,22.0,3.135494,False
alternet.org,cujo359.blogspot.com,8.0,2.197225,False
2.bp.blogspot.com,cujo359.blogspot.com,116.0,4.762174,False
boston.com,cujo359.blogspot.com,9.0,2.302585,False
amazon.com,cujo359.blogspot.com,8.0,2.197225,False
bloomberg.com,cujo359.blogspot.com,21.0,3.091042,False
3.bp.blogspot.com,cujo359.blogspot.com,301.0,5.710427,False
corner.nationalreview.com,cujo359.blogspot.com,7.0,2.079442,False
commondreams.org,cujo359.blogspot.com,3.0,1.386294,False
blogs.wsj.com,cujo359.blogspot.com,3.0,1.386294,False
blog.wired.com,cujo359.blogspot.com,5.0,1.791759,False
4.bp.blogspot.com,cujo359.blogspot.com,153.0,5.036953,False
blogger.com,cujo359.blogspot.com,1762.0,7.474772,False
arstechnica.com,cujo359.blogspot.com,2.0,1.098612,False
abcnews.go.com,cujo359.blogspot.com,4.0,1.609438,False
apple.com,cujo359.blogspot.com,2.0,1.098612,False
1.bp.blogspot.com,cujo359.blogspot.com,207.0,5.337538,False
chicagotribune.com,cujo359.blogspot.com,13.0,2.639057,False
crooksandliars.com,d-day.blogspot.com,51.0,3.951244,False
chron.com,d-day.blogspot.com,19.0,2.995732,False
chicagotribune.com,d-day.blogspot.com,16.0,2.833213,False
businessweek.com,d-day.blogspot.com,3.0,1.386294,False
bloomberg.com,d-day.blogspot.com,64.0,4.174387,False
blogs.abcnews.com,d-day.blogspot.com,75.0,4.330733,False
boston.com,d-day.blogspot.com,66.0,4.204693,False
blogs.wsj.com,d-day.blogspot.com,22.0,3.135494,False
alternet.org,d-day.blogspot.com,27.0,3.332205,False
blog.wired.com,d-day.blogspot.com,22.0,3.135494,False
cbc.ca,d-day.blogspot.com,4.0,1.609438,False
breitbart.com,d-day.blogspot.com,10.0,2.397895,False
