cabinet_no,pm,ministry,minister,party,party_role,start_date,end_date
65,อนุทิน ชาญวีรกูล,กระทรวงมหาดไทย,อนุทิน ชาญวีรกูล,ภูมิใจไทย,core,2568-09-19,2569-03-30
65,อนุทิน ชาญวีรกูล,กระทรวงอุตสาหกรรม,ธนกร วังบุญคงชนะ,ภูมิใจไทย,core,2568-09-19,2569-03-30
65,อนุทิน ชาญวีรกูล,กระทรวงการท่องเที่ยวและกีฬา,อรรถกร ศิริลัทธยากร,กล้าธรรม,coalition,2568-09-19,2569-03-30
66,อนุทิน ชาญวีรกูล,กระทรวงการคลัง,เอกนิติ นิติทัณฑ์ประภาศ,ภูมิใจไทย,core,2569-03-30,ปัจจุบัน
66,อนุทิน ชาญวีรกูล,กระทรวงพลังงาน,เอกนัฏ พร้อมพันธุ์,ภูมิใจไทย,core,2569-03-30,ปัจจุบัน
66,อนุทิน ชาญวีรกูล,กระทรวงคมนาคม,พิพัฒน์ รัชกิจประการ,ภูมิใจไทย,core,2569-03-30,ปัจจุบัน
66,อนุทิน ชาญวีรกูล,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,ไชยชนก ชิดชอบ,ภูมิใจไทย,core,2569-03-30,ปัจจุบัน
66,อนุทิน ชาญวีรกูล,กระทรวงสาธารณสุข,พัฒนา พร้อมพัฒน์,ภูมิใจไทย,core,2569-03-30,ปัจจุบัน
66,อนุทิน ชาญวีรกูล,กระทรวงพาณิชย์,ศุภจี สุธรรมพันธุ์,ภูมิใจไทย,core,2569-03-30,ปัจจุบัน
66,อนุทิน ชาญวีรกูล,กระทรวงเกษตรและสหกรณ์,สุริยะ จึงรุ่งเรืองกิจ,เพื่อไทย,coalition,2569-03-30,ปัจจุบัน
66,อนุทิน ชาญวีรกูล,กระทรวงมหาดไทย,อนุทิน ชาญวีรกูล,ภูมิใจไทย,core,2569-03-30,ปัจจุบัน
66,อนุทิน ชาญวีรกูล,กระทรวงอุตสาหกรรม,วราวุธ ศิลปอาชา,ภูมิใจไทย,core,2569-03-30,ปัจจุบัน
66,อนุทิน ชาญวีรกูล,กระทรวงการท่องเที่ยวและกีฬา,สุรศักดิ์ พันธ์เจริญวรกุล,ภูมิใจไทย,core,2569-03-30,ปัจจุบัน
